"UNCN_NM_UNID_CRONO";"UNCN_NM_UNID_CRONO_ING";"UNCN_NM_UNID_GEOCRN";"UNCN_NM_GEOCRN_ING"
"Asseliano";"Asselian";"Asseliano";"Asselian"
"Bursumiano";"Bursumian";"Bursumiano";""
"Carbonífero";"Carboniferous";"Carbonífero";"Carboniferous"
"Pennsylvaniano";"Pennsylvanian";"Pennsylvaniano";"Pennsylvanian"
"Pennsylvaniano Superior";"Upper Pennsylvanian";"Neopennsylvaniano";"Late Pennsylvanian"
"Gzheliano";"Gzhelian";"Gzheliano";"Gzhelian"
"Virgiliano";"Virgilian";"Virgiliano";""
"Stephaniano";"Stephanian";"Stephaniano";""
"Stephaniano C";"Stephanian C";"Stephaniano C";""
"Stephaniano B";"Stephanian B";"Stephaniano B";""
"Missouriano";"Missourian";"Missouriano";""
"Barrueliano (A)";"Barruelian";"Barrueliano (A)";""
"Desmoinesiano";"Desmoinesian";"Desmoinesiano";""
"Cantabriano";"Cantabrian";"Cantabriano";""
"Pennsylvaniano Médio";"Middle Pennsylvanian";"Mesopennsylvaniano";"Middle Pennsylvanian"
"Moscoviano";"Moscovian";"Moscoviano";"Moscovian"
"Westphaliano";"Westphalian";"Westphaliano";""
"Asturiano [D]";"Asturian [D]";"Asturiano [D]";""
"Atokano";"Atokan";"Atokano";""
"Bolsoviano [C]";"Bolsovian";"Bolsoviano [C]";""
"Duckmantiano [B]";"Duckmantian [B]";"Duckmantiano [B]";""
"Pennsylvaniano Inferior";"Lower Pennsylvanian";"Eopennsylvaniano";"Early Pennsylvanian"
"Bashkiriano";"Bashkirian";"Bashkiriano";"Bashkirian"
"Morrowano";"Morrovan";"Morrowano";""
"Anisiano";"Anisian";"Anisiano";"Anisian"
"Illyriano";"Illyrian";"Illyriano";"Illyrian"
"Pelsoniano";"Pelsonian";"Pelsoniano";"Paleozoic"
"Bityniano";"Bithynian";"Bityniano";"Bithynian"
"Aegeano";"Aegean";"Aegeano";"Aegean"
"Triássico Inferior";"Lower Triassic";"Eotriássico";"Early Triassic"
"Spathiano";"Spathian";"Spathiano";"Spathian"
"Smithiano";"Smithian";"Smithiano";"Smithian"
"Induano";"Induan";"Induano";"Induan"
"Dieneriano";"Dienerian";"Dieneriano";"Dienerian"
"Griesbachiano";"Griesbachian";"Griesbachiano";"Griesbachian"
"Paleozoico";"Paleozoic";"Paleozoico";"Paleozoic"
"Permiano";"Permian";"Permiano";"Permian"
"Lopingiano";"Lopingian";"Lopingiano";"Lopingian"
"Changhsingiano";"Changhsingian";"Changhsingiano";"Changhsingian"
"Wuchiapingiano";"Wuchiapingian";"Wuchiapingiano";"Wuchiapingian"
"Guadalupiano";"Guadalupian";"Guadalupiano";"Guadalupian"
"Capitaniano";"Capitanian";"Capitaniano";"Capitanian"
"Wordiano";"Wordian";"Wordiano";"Wordian"
"Roadiano";"Roadian";"Roadiano";"Roadian"
"Pliensbachiano Superior";"Upper Pliensbachian";"Neopliensbachiano";"Late Pliensbachian"
"Carixiano";"Carixian";"Carixiano";""
"Pliensbachiano Inferior";"Lower Pliensbachian";"Eopliensbachiano";"Early Pliensbachian"
"Sinemuriano";"Sinemurian";"Sinemuriano";"Sinemurian"
"Sinemuriano Superior";"Upper Sinemurian";"Neossinemuriano";"Late Sinemurian"
"Sinemuriano Inferior";"Lower Sinemurian";"Eossinemuriano";"Early Sinemurian"
"Hettangiano";"Hettangian";"Hettangiano";"Hettangian"
"Triássico";"Triassic";"Triássico";"Triassic"
"Rhaetiano";"Rhaetian";"Rhaetiano";"Rhaetian"
"Noriano";"Norian";"Noriano";"Norian"
"Sevatiano";"Sevatian";"Sevatiano";"Sevatian"
"Alauniano";"Alaunian";"Alauniano";"Alaunian"
"Laciano";"Lacian";"Laciano";"Lacian"
"Carniano";"Carnian";"Carniano";"Carnian"
"Tuvaliano";"Tuvalian";"Tuvaliano";"Tuvalian"
"Juliano";"Julian";"Juliano";"Julian"
"Triássico Médio";"Middle Triassic";"Mesotriássico";"Middle Triassic"
"Ladiniano";"Ladinian";"Ladiniano";"Ladinian"
"Longobardiano";"Longobardian";"Longobardiano";"Longobardian"
"Fassaniano";"Fassanian";"Fassaniano";"Fassanian"
"Bathoniano";"Bathonian";"Bathoniano";"Bathonian"
"Bathoniano Superior";"Upper Bathonian";"Neobathoniano";"Late Bathonian"
"Bathoniano Médio";"Middle Bathonian";"Mesobathoniano";"Middle Bathonian"
"Bathoniano Inferior";"Lower Bathonian";"Eobathoniano";"Early Bathonian"
"Bajociano";"Bajocian";"Bajociano";"Bajocian"
"Bajociano Superior";"Upper Bajocian";"Neobajociano";"Late Bajocian"
"Bajociano Inferior";"Lower Bajocian";"Eobajociano";"Early Bajocian"
"Aaleniano";"Aalenian";"Aaleniano";"Aalenian"
"Aaleniano Superior";"Upper Aalenian";"Neoaaleniano";"Late Aalenian"
"Aaleniano Médio";"Middle Aalenian";"Mesoaaleniano";"Middle Aalenian"
"Aaleniano Inferior";"Lower Aalenian";"Eoaaleniano";"Early Aalenian"
"Toarciano";"Toarcian";"Toarciano";"Toarcian"
"Toarciano Superior";"Upper Toarcian";"Neotoarciano";"Late Toarcian"
"Toarciano Medio";"Middle Toarcian";"Mesotoarciano";""
"Toarciano Inferior";"Lower Toarcian";"Eotoarciano";"Early Toarcian"
"Domeriano";"Domerian";"Domeriano";""
"Tithoniano Superior";"Upper Tithonian";"Neotithoniano";"Late Tithonian"
"Dom Joao superior";"upper Dom Joao";"neodom-joao";""
"Dom Joao medio";"middle Dom Joao";"mesodom-joao";""
"Tithoniano Inferior";"Lower Tithonian";"Eotithoniano";"Early Tithonian"
"Dom Joao inferior";"lower Dom Joao";"eodom-joao";""
"Kimmeridgiano";"Kimmeridgian";"Kimmeridgiano";"Kimmeridgian"
"Kimmeridgiano Superior";"Upper Kimmeridgian";"Neokimmeridgiano";"Late Kimmeridgian"
"Kimmeridgiano Inferior";"Lower Kimmeridgian";"Eokimmeridgiano";"Early Kimmeridgian"
"Oxfordiano";"Oxfordian";"Oxfordiano";"Oxfordian"
"Oxfordiano Superior";"Upper Oxfordian";"Neo-oxfordiano";"Late Oxfordian"
"Oxfordiano Médio";"Middle Oxfordian";"Meso-oxfordiano";"Middle Oxfordian"
"Oxfordiano Inferior";"Lower Oxfordian";"Eo-oxfordiano";"Early Oxfordian"
"Jurássico Médio";"Middle Jurassic";"Mesojurássico";"Middle Jurassic"
"Calloviano";"Callovian";"Calloviano";"Callovian"
"Calloviano Superior";"Upper Callovian";"Neocalloviano";"Late Callovian"
"Calloviano Médio";"Middle Callovian";"Mesocalloviano";"Middle Callovian"
"Calloviano Inferior";"Lower Callovian";"Eocalloviano";"Early Callovian"
"Rio da Serra superior parte inferior";"lower upper Rio de Serra";"neorio-da-serra inicial";""
"Valanginiano Inferior";"Lower Valanginian";"Eovalanginiano";"Early Valanginian"
"Rio da Serra Médio";"Middle Rio da Serra";"Mesorio-da-serra";"Middle Rio da Serra"
"Rio da Serra medio parte superior";"upper middle Rio da Serra";"mesorio-da-serra final";""
"Berriasiano";"Berriasian";"Berriasiano";"Berriasian"
"Berriasiano Superior";"Upper Berriasian";"Neoberriasiano";"Late Berriasian"
"Rio da Serra medio parte media";"middle middle Rio da Serra";"mesorio-da-serra mediano";""
"Rio da Serra medio parte inferior";"lower middle Rio da Serra";"mesorio-da-serra inicial";""
"Berriasiano Inferior";"Lower Berriasian";"Eoberriasiano";"Early Berriasian"
"Rio da Serra Inferior";"Lower Rio da Serra";"Eorio-da-serra";"Early Rio da Serra"
"Rio da Serra inferior parte superior";"upper lower Rio da Serra";"eorio-da-serra final";""
"Rio da Serra inferior parte inferior";"lower lower Rio da Serra";"eorio-da-serra inicial";""
"Jurássico";"Jurassic";"Jurássico";"Jurassic"
"Jurássico Superior";"Upper Jurassic";"Neojurássico";"Late Jurassic"
"Tithoniano";"Tithonian";"Tithoniano";"Tithonian"
"Dom João";"Dom João";"Dom João";"Dom João"
"Aratu superior parte inferior";"lower upper Aratu";"neoaratu inicial";""
"Barremiano Inferior parte media";"middle Lower Barremian";"Eobarremiano mediano";""
"Aratu Médio";"Middle Aratu";"Mesoaratu";"Middle Aratu"
"Aratu medio parte superior";"upper middle Aratu";"mesoaratu final";""
"Barremiano Inferior parte inferior";"lower Lower Barremian";"Eobarremiano inicial";""
"Neocomiano";"Neocomian";"Neocomiano";""
"Hauteriviano Superior";"Upper Hauterivian";"Neo-hauteriviano";"Late Hauterivian"
"Aratu medio parte media";"middle middle Aratu";"mesoaratu mediano";""
"Aratu medio parte inferior";"lower middle Aratu";"mesoaratu inicial";""
"Aratu Inferior";"Lower Aratu";"Eoaratu";"Early Aratu"
"Aratu inferior parte superior";"upper lower Aratu";"eoaratu final";""
"Hauteriviano Inferior";"Lower Hauterivian";"Eo-hauteriviano";"Early Hauterivian"
"Aratu inferior parte inferior";"lower lower Aratu";"eoaratu inicial";""
"Rio da Serra";"Rio da Serra";"Rio da Serra";"Rio da Serra"
"Rio da Serra Superior";"Upper Rio da Serra";"Neorio-da-serra";"Late Rio da Serra"
"Rio da Serra superior parte superior";"upper upper Rio da Serra";"neorio-da-serra final";""
"Valanginiano";"Valanginian";"Valanginiano";"Valanginian"
"Valanginiano Superior";"Upper Valanginian";"Neovalanginiano";"Late Valanginian"
"Barremiano";"Barremian";"Barremiano";"Barremian"
"Barremiano Superior";"Upper Barremian";"Neobarremiano";"Late Barremian"
"Jiquiá Inferior";"Lower Jiquiá";"Eojiquiá";"Early Jiquiá"
"Barremiano superior parte superior";"upper upper Barremian";"Neobarremiano final";""
"Buracica";"Buracica";"Buracica";"Buracica"
"Buracica Superior";"Upper Buracica";"Neoburacica";"Late Buracica"
"Buracica superior parte superior";"upper upper Buracica";"neoburacica final";""
"Buracica superior parte media";"middle upper Buracica";"neoburacica mediano";""
"Barremiano Superior parte media";"middle Upper Barremian";"Neobarremiano mediano";""
"Buracica superior parte inferior";"lower upper Buracica";"neoburacica inicial";""
"Buracica Inferior";"Lower Buracica";"Eoburacica";"Early Buracica"
"Buracica inferior parte superior";"upper lower Buracica";"eoburacica final";""
"Buracica inferior parte inferior";"lower lower Buracica";"eoburacica inicial";""
"Barremiano Superior parte inferior";"lower Upper Barremian";"Neobarremiano inicial";""
"Aratu";"Aratu";"Aratu";"Aratu"
"Aratu Superior";"Upper Aratu";"Neoaratu";"Late Aratu"
"Aratu superior parte superior";"upper upper Aratu";"neoaratu final";""
"Barremiano Inferior";"Lower Barremian";"Eobarremiano";"Early Barremian"
"Barremiano Inferior parte superior";"upper Lower Barremian";"Eobarremiano final";""
"Clansayesiano";"Clansayesian";"Clansayesiano";""
"Aptiano Superior parte superior";"upper Upper Aptian";"Neoaptiano final";""
"Alagoas superior parte inferior";"lower upper Alagoas";"neoalagoas inicial";""
"Aptiano Superior parte media";"middle Upper Aptian";"Neoaptiano mediano";""
"Aptiano Superior parte inferior";"lower Upper Aptian";"Neoaptiano inicial";""
"Alagoas medio";"middle Alagoas";"mesoalagoas";""
"Alagoas medio parte superior";"upper middle Alagoas";"mesoalagoas final";""
"Aptiano Medio";"Middle Aptian";"Mesoaptiano ";""
"Gargasiano";"Gargasian";"Gargasiano";""
"Alagoas medio parte media";"middle middle Alagoas";"mesoalagoas mediano";""
"Alagoas medio parte inferior";"lower middle Alagoas";"mesoalagoas inicial";""
"Alagoas inferior";"lower Alagoas";"eoalagoas";""
"Aptiano Inferior";"Lower Aptian";"Eoaptiano";"Early Aptian"
"Bedouliano";"Bedoulian";"Bedouliano";""
"Aptiano Inferior parte superior";"upper Lower Aptian";"Eoaptiano final";""
"Aptiano Inferior parte media";"middle Lower Aptian";"Eoaptiano mediano";""
"Jiquiá";"Jiquiá";"Jiquiá";"Jiquiá"
"Jiquiá Superior";"Upper Jiquiá";"Neojiquiá";"Late Jiquiá"
"Aptiano Inferior parte inferior";"lower Lower Aptian";"Eoaptiano inicial";""
"Cenomaniano Inferior parte inferior";"lower Lower Cenomanian";"Eocenomaniano inicial";""
"Cretáceo Inferior";"Lower Cretaceous";"Eocretáceo";"Early Cretaceous"
"Albiano";"Albian";"Albiano";"Albian"
"Albiano Superior";"Upper Albian";"Neoalbiano";"Late Albian"
"Albiano Superior parte superior";"upper UpperAlbian";"Neoalbiano final";""
"Albiano Superior parte media";"middle Upper Albian";"Neoalbiano mediano";""
"Albiano Superior parte inferior";"lower Upper Albian";"Neoalbiano inicial";""
"Albiano Médio";"Middle Albian";"Mesoalbiano";"Middle Albian"
"Albiano Medio parte superior";"upper Middle Albian";"Mesoalbiano final";""
"Albiano Medio parte media";"middle Middle Albian";"Mesoalbiano mediano";""
"Albiano Medio parte inferior";"lower Middle Albian";"Mesoalbiano inicial";""
"Albiano Inferior";"Lower Albian";"Eoalbiano";"Early Albian"
"Albiano Inferior parte superior";"upper Lower Albian";"Eoalbiano final";""
"Albiano Inferior parte media";"middle Lower Albian";"Eoalbiano mediano";""
"Albiano Inferior parte inferior";"lower Lower Albian";"Eoalbiano inicial";""
"Alagoas";"Alagoas";"Alagoas";"Alagoas"
"Alagoas superior";"upper Alagoas";"neoalagoas";""
"Alagoas superior parte superior";"upper upper Alagoas";"neoalagoas final";""
"Aptiano";"Aptian";"Aptiano";"Aptian"
"Aptiano Superior";"Upper Aptian";"Neoaptiano";"Late Aptian"
