"UNCN_NM_UNID_CRONO";"UNCN_NM_UNID_CRONO_ING";"UNCN_NM_UNID_GEOCRN";"UNCN_NM_GEOCRN_ING"
"Ypresiano inferior";"lower Ypresian";"eoypresiano";""
"Paleoceno";"Paleocene";"Paleoceno";"Paleocene"
"Paleoceno Superior";"Upper Paleocene";"Neopaleoceno";"Late Paleocene"
"Paleoceno Superior parte superior";"upper Upper Paleocene";"Neopaleoceno final";""
"Thanetiano";"Thanetian";"Thanetiano";"Thanetian"
"Thanetiano superior";"upper Thanetian";"neothanetiano";""
"Paleoceno Superior parte media";"middle Upper Paleocene";"Neopaleoceno mediano";""
"Thanetiano medio";"middle Thanetian";"mesothanetiano";""
"Paleoceno Superior parte inferior";"lower Upper Paleocene";"Neopaleoceno inicial";""
"Thanetiano inferior";"lower Thanetian";"eothanetiano";""
"Paleoceno Médio";"Middle Paleocene";"Mesopaleoceno";"Middle Paleocene"
"Paleoceno Medio parte superior";"upper Middle Paleocene";"Mesopaleoceno final";""
"Selandiano";"Selandian";"Selandiano";"Selandian"
"Selandiano superior";"upper Selandian";"neosselandiano";""
"Paleoceno Medio parte media";"middle Middle Pal";"Mesopaleoceno mediano";""
"Selandiano medio";"middle Selandian";"Mesosselandiano";""
"Paleoceno Medio parte inferior";"lower Middle Paleocene";"Mesopaleoceno inicial";""
"Eoceno Superior parte inferior";"lower Upper Eocene";"Neoeoceno inicial";""
"Priaboniano inferior";"lower Priabonian";"eopriaboniano";""
"Eoceno Médio";"Middle Eocene";"Mesoeoceno";"Middle Eocene"
"Eoceno Medio parte superior";"upper Middle Eocene";"Mesoeoceno final";""
"Bartoniano";"Bartonian";"Bartoniano";"Bartonian"
"Bartoniano superior";"upper Bartonian";"neobartoniano";""
"Bartoniano medio";"middle Bartonian";"mesobartoniano";""
"Bartoniano inferior";"lower Bartonian";"eobartoniano";""
"Lutetiano";"Lutetian";"Lutetiano";"Lutetian"
"Lutetiano superior";"upper Lutetian";"neolutetiano";""
"Eoceno Medio parte media";"middle Middle Eocene";"Mesoeoceno mediano";""
"Lutetiano medio";"middle Lutetian";"mesolutetiano";""
"Eoceno Medio parte inferior";"lower Middle Eocene";"Mesoeoceno inicial";""
"Lutetiano inferior";"lower Lutetian";"eolutetiano";""
"Eoceno Inferior";"Lower Eocene";"Eoeoceno";"Early Eocene"
"Eoceno Inferior parte superior";"upper Lower Eocene";"Eoeoceno final";""
"Ypresiano";"Ypresian";"Ypresiano";"Ypresian"
"Ypresiano superior";"upper Ypresian";"neoypresiano";""
"Eoceno Inferior parte media";"middle Lower Eocene";"Eoeoceno mediano";""
"Oligoceno Superior parte media";"middle Upper Oligocene";"Neo-Oligoceno mediano";""
"Chattiano medio";"middle Chattian";"mesochattiano";""
"Oligoceno Superior parte inferior";"lower Upper Oligocene";"Neo-Oligoceno inicial";""
"Chattiano inferior";"lower Chattian";"eochattiano";""
"Oligoceno Inferior";"Lower Oligocene";"Eo-oligoceno";"Early Oligocene"
"Oligoceno Inferior parte superior";"upper Lower Oligocene";"Eo-Oligoceno final";""
"Rupeliano";"Rupelian";"Rupeliano";"Rupelian"
"Rupeliano superior";"upper Rupelian";"neorrupeliano";""
"Oligoceno Inferior parte media";"middle Lower Oligocene";"Eo-Oligoceno mediano";""
"Rupeliano medio";"middle Rupelian";"mesorrupeliano";""
"Rupeliano inferior";"lower Rupelian";"eorrupeliano";""
"Oligoceno Inferior parte inferior";"lower Lower Oligocene";"Eo-Oligoceno inicial";""
"Eoceno";"Eocene";"Eoceno";"Eocene"
"Eoceno Superior";"Upper Eocene";"Neoeoceno";"Late Eocene"
"Eoceno Superior parte superior";"upper Upper Eocene";"Neoeoceno final";""
"Priaboniano";"Priabonian";"Priaboniano";"Priabonian"
"Priaboniano superior";"upper Priabonian";"neopriaboniano";""
"Eoceno Superior parte media";"middle Upper Eocene";"Neoeoceno mediano";""
"Priaboniano medio";"middle Priabonian";"mesopriaboniano";""
"Mioceno Inferior parte superior";"upper Lower Miocene";"Eomioceno final";""
"Burdigaliano";"Burdigalian";"Burdigaliano";"Burdigalian"
"Burdigaliano superior";"upper Burdigalian";"neoburdigaliano";""
"Burdigaliano medio";"middle Burdigalian";"mesoburdigaliano";""
"Mioceno Inferior parte media";"middle Lower Miocene";"Eomioceno mediano";""
"Burdigaliano inferior";"lower Burdigalian";"eoburdigaliano";""
"Aquitaniano";"Aquitanian";"Aquitaniano";"Aquitanian"
"Aquitaniano superior";"upper Aquitanian";"neoaquitaniano";""
"Mioceno Inferior parte inferior";"lower Lower Miocene";"Eomioceno inicial";""
"Aquitaniano medio";"middle Aquitanian";"mesoaquitaniano";""
"Aquitaniano inferior";"lower Aquitanian";"eoaquitaniano";""
"Terciario inferior";"lower Tertiary";"eoterciario";""
"Paleogeno";"Paleogene";"Paleogeno";"Paleogene"
"Oligoceno";"Oligocene";"Oligoceno";"Oligocene"
"Oligoceno Superior";"Upper Oligocene";"Neo-oligoceno";"Late Oligocene"
"Oligoceno Superior parte superior";"upper Upper Oligocene";"Neo-Oligoceno final";""
"Chattiano";"Chattian";"Chattiano";"Chattian"
"Chattiano superior";"upper Chattian";"Neochattiano";""
"Tortoniano superior";"upper Tortonian";"neotortoniano";""
"Mioceno Superior parte media";"middle Upper Miocene";"Neomioceno mediano";""
"Tortoniano medio";"middle Tortonian";"mesotortoniano";""
"Mioceno Superior parte inferior";"lower Upper Miocene";"Neomioceno inicial";""
"Tortoniano inferior";"lower Tortonian";"eotortoniano";""
"Mioceno Médio";"Middle Miocene";"Mesomioceno";"Middle Miocene"
"Mioceno Medio parte superior";"upper Middle Miocene";"Mesomioceno final";""
"Serravalliano";"Serravallian";"Serravalliano";"Serravallian"
"Serravalliano superior";"upper Serravallian";"neosserravalliano";""
"Serravalliano medio";"middle Serravallian";"mesosserravalliano";""
"Serravalliano inferior";"lower Serravallian";"eosserravalliano";""
"Mioceno Medio parte media";"middle Middle Miocene";"Mesomioceno mediano";""
"Langhiano";"Langhian";"Langhiano";"Langhian"
"Langhiano superior";"upper Langhian";"neolanghiano";""
"Langhiano medio";"middle Langhian";"mesolanghiano";""
"Mioceno Medio parte inferior";"lower Middle Miocene";"Mesomioceno inicial";""
"Langhiano inferior";"lower Langhiano";"eolanghiano";""
"Mioceno Inferior";"Lower Miocene";"Eomioceno";"Early Miocene"
"Plioceno Superior parte inferior";"lower Upper Pliocene";"Neoplioceno inicial";""
"Piacenziano inferior";"lower Piacensian";"eopiacenziano";""
"Plioceno Inferior";"Lower Pliocene";"Eoplioceno";"Early Pliocene"
"Plioceno Inferior parte superior";"upper Lower Pliocene";"Eoplioceno final";""
