"TINH_SG_TIPO_MINERAL_ROCHA";"TINH_NM_TIPO_MINERAL_ROCHA"
"MEPLG";"Plagioclásio"
"MEPLQ";"Paligorsquita"
"MEPMN";"Piemontita"
"MEPOR";"Poros"
"MEPRE";"Prenita"
"MEPRF";"Pirofilita"
"MEPRG";"Paragonita"
"MEPRP";"Piropo"
"MEPRS";"Prosopita"
"MEPRT";"Pirrotita"
"MEQMC";"Quartzo+MC"
"MEQMO";"Quartzo+MO"
"MEQUA";"Quartzo"
"MERCH";"Richterita"
"MEROD";"Rodocrosita"
"MERUT";"Rutilo"
"MESAN";"Sanidina"
"MESBR";"Sr-Barita"
"MESCA";"Silimanita/cianita/Andaluzita"
"MESCT";"Fase de Si, Ca, Ti, Fe"
"MESEN";"Sulfeto Indiferenciado"
"MESER";"Serpentina"
"MESFC";"Fase de S, Fe, Cu, Zn"
"MESFE";"Fase de Si, Fe"
"MESIC";"Fase de Si, Ca"
"MESID";"Siderita"
"MESIL";"Silvita"
"MESIN";"Sulfato Indiferenciado"
"MESKF";"Fase de S, K, Fe"
"MESLC";"Sílica"
"MESOD";"Sodalita"
"MESTF";"Fase de S, Ti, Fe"
"MESTR";"Estroncianita"
"MESVA";"Svanbergita"
"MESVG";"Svanbergita/Goyazita"
"METCO";"Talco"
"METIT";"Titanita"
"METMG";"Titanomagnetita"
"METQD";"Taquidrita"
"METRD";"Tridimita"
"METRM";"Tremolita"
"METS";"Inter. Talco-Esmectita"
"METUN";"Tunisita"
"METUR";"Turmalina"
"MEUVA";"Uvarovita"
"MEVAT";"Vaterita"
"MEVER";"Vermiculita"
"MEVIV";"Vidro Vulcânico"
"MEVLC";"Vulcânica"
"MEWHL";"Whewellita"
"MEWOL";"Wollastonita"
"MEZEP";"Zeólita e/ou Plagioclásio"
"MEZIR";"Zircão"
"MEZRS";"Fase com Zr e Si"
"MEZST";"Zoisita"
"MFEDP";"Fe-Diopsídio"
"MFEMG";"Fe-Magnesita"
"MFMAF";"Fase de Mg, Al, Si, Fe"
"MIKSK";"Interestratificado kerolita-esmectita rico em kerolita"
"MIKSS";"Interestratificado kerolita-esmectita rico em esmectita"
"MISRC";"Interestratificado Serpentina-Clorita"
"MLZDT";"Lizardita"
"MMANB";"Anortita/Bytownita"
"MMGAR";"Mg-Argilominerais"
"MMGCF";"Fase de Mg, Ca, Fe"
"MMGSI";"Mg-Siderita"
"MMHST";"Hastingsita"
"MMPRC";"Periclásio"
"MMRBC";"Riebeckita"
"MMSCF";"Fase de Mg, Si, Ca, Fe"
"MNAFD";"Ankerita/Fe-Dolomita"
"MNBSH";"Brushita"
"MNLEP";"Lepidocrocita"
"MNLMN";"Laumontita"
"MNMAS";"Fase de Na, Mg, Al, Si"
"MNMSC";"Fase de Na, Mg, Si, Ca, Fe"
"MNOSN";"Noseana"
"MNPRN";"Prehnita"
"MNPTL";"Portlandita"
"MNTRJ";"Natrojarosita"
"MRMIR";"Mineral Rico em Al"
"MSARG";"Argilomineral"
"MSCAL";"Calcita"
"MSCLO";"Clorita"
"MSEP";"Sepiolita"
"MSESM";"Esmectita"
"MSICS";"Inter Caulinita-Esmectita"
"MSKS";"Inter Kerolita-Esmectita"
"MSOBS";"Outros"
"MSOXI";"Óxido de Ferro"
"MSPAL";"Palagonita"
"MSTRL";"Estaurolita"
"MSZEO";"Zeólita"
