"TEFR_SG_TIPO_EST_FISICA_ROCHA";"TEFR_NM_TIPO_EST_FISICA_ROCHA"
"ETLMI";"Lineação Mineral"
"ETLON";"Laminação Ondulada"
"ETLSA";"Lisa"
"ETMCD";"Manchada"
"ETMDT";"Microdigitada"
"ETMOS";"Mosqueada"
"ETMSC";"Mosaico"
"ETNBL";"Nebulítico"
"ETNCL";"Nível de Caliche"
"ETNDL";"Nodular"
"ETNOB";"Não Observado"
"ETORG";"Organizada"
"ETORT";"Orientada"
"ETPAL";"Paliçada"
"ETPCL";"Planos C Linha"
"ETPFR";"Perfurações"
"ETPGM";"Pegmatítica"
"ETPNT";"Pente"
"ETPRE";"Presença"
"ETPRM";"Prismático"
"ETRDL";"Radial"
"ETRDS";"Rods"
"ETRED";"Rede"
"ETRGP";"Relicto de Gipsita"
"ETRIZ";"Raiz"
"ETRNF";"Reniforme"
"ETRPB";"Ripples Bidirecionais"
"ETRPS";"Ripples Sinusoidais"
"ETRPU";"Ripples Unidirecionais"
"ETRTL";"Retalho"
"ETRTR";"Ripples Transladantes"
"ETSCL";"Schlieren"
"ETSCR";"Sacaroidal (Sac)"
"ETSLP";"Slumping"
"ETSNT";"Sinter"
"ETSTW";"Stockwork"
"ETSWL";"Swaley"
"ETTBG";"Turboglifos"
"ETTPE";"Teepee"
"ETTRB";"Trombolítica"
"ETVCZ";"Veio de Cizalhamento"
"ETVEI";"Veio"
"ETVES";"Vesicular"
"ETVIR";"Veio Irregular"
"ETVNL";"Venulada"
"ETVPN";"Veio em Pente"
"ETWRP";"Wave Ripple"
"ETWVL";"Wavy-Linsen"
"ETWVY";"Wavy"
"ETXSD";"Xistosidade Delgada"
"ETXTP";"Xenotópica"
